finding_id	title	severity	primary_review_owner	owning_tranche	tranche_number	stage	campaign_order	relevant_source_paths	test_requirement_ids	required_test_classes	required_proof_environments	production_entrypoint_required	blocks_BWS_600	blocks_BWS_710	blocks_release	blocks_deployment	external_pending_status
BWS116-R03-001	Migration discovery can escape the repository and the SQL scope scanner admits cross-schema executable DDL	P0	R03	BWS-W1-T01	1	S1	5	packages/persistence/src/migrations.ts|packages/persistence/src/psql.ts	BWS116-R03-001-TEST-01|BWS116-R03-001-TEST-02|BWS116-R03-001-TEST-03|BWS116-R03-001-TEST-04|BWS116-R03-001-TEST-05	persistence_or_migration|unit_or_integration	DISPOSABLE_POSTGRESQL_AND_NODE20	false	false	false	true	true	false
BWS116-R03-002	The migration-status read path creates schema objects before reporting status	P1	R03	BWS-W1-T09	9	S1	6	docs/037_database_backup_retention_and_recovery.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/persistence/src/migrations.ts	BWS116-R03-002-TEST-01|BWS116-R03-002-TEST-02|BWS116-R03-002-TEST-03	persistence_or_migration|unit_or_integration	DISPOSABLE_POSTGRESQL_AND_NODE20	false	false	false	true	true	false
BWS116-R03-003	Unknown applied migration rows are ignored and can be reported as compatible	P1	R03	BWS-W1-T09	9	S1	6	docs/037_database_backup_retention_and_recovery.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/persistence/src/migrations.ts	BWS116-R03-003-TEST-01|BWS116-R03-003-TEST-02|BWS116-R03-003-TEST-03|BWS116-R03-003-TEST-04	persistence_or_migration|unit_or_integration	DISPOSABLE_POSTGRESQL_AND_NODE20	false	false	false	true	true	false
BWS116-R03-004	Concurrent migration applications are not serialized around ledger observation and insertion	P2	R03	BWS-W1-T09	9	S1	6	docs/037_database_backup_retention_and_recovery.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/persistence/src/migrations.ts	BWS116-R03-004-TEST-01|BWS116-R03-004-TEST-02|BWS116-R03-004-TEST-03	concurrency_or_fencing|restart_or_recovery|unit_or_integration	DISPOSABLE_POSTGRESQL_AND_NODE20	false	false	false	true	true	false
BWS120-R08-001	Backup overwrite can recursively remove an unrelated pre-existing directory	P0	R08	BWS-W3-T30	30	S1	7	docs/037_database_backup_retention_and_recovery.md|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/operations/database-lifecycle.ts|packages/persistence/src/psql.ts	BWS120-R08-001-TEST-01|BWS120-R08-001-TEST-02|BWS120-R08-001-TEST-03|BWS120-R08-001-TEST-04	persistence_or_migration|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-003	Backup manifest metadata and row counts are not captured from the pg_dump snapshot	P1	R08	BWS-W3-T30	30	S1	7	docs/037_database_backup_retention_and_recovery.md|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/operations/database-lifecycle.ts|packages/persistence/src/psql.ts	BWS120-R08-003-TEST-01|BWS120-R08-003-TEST-02|BWS120-R08-003-TEST-03	concurrency_or_ownership|persistence_or_migration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-004	Backup replacement deletes the previous verified backup before the new publication commits	P1	R08	BWS-W3-T30	30	S1	7	docs/037_database_backup_retention_and_recovery.md|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/operations/database-lifecycle.ts|packages/persistence/src/psql.ts	BWS120-R08-004-TEST-01|BWS120-R08-004-TEST-02|BWS120-R08-004-TEST-03	security_or_confinement|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-002	Release-upgrade apply can migrate a different database than the reviewed plan	P0	R08	BWS-W3-T31	31	S1	8	docs/037_database_backup_retention_and_recovery.md|docs/039_release_deployment_and_upgrade_contract.md|docs/043_upgrade_rollback_recovery_implementation_blueprint.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/final-local-acceptance.ts|packages/bootstrap/src/operations/release-upgrade.ts	BWS120-R08-002-TEST-01|BWS120-R08-002-TEST-02|BWS120-R08-002-TEST-03|BWS120-R08-002-TEST-04	cancellation_or_timeout|persistence_or_migration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-005	Migration status reports compatibility without evaluating PostgreSQL server-version compatibility	P1	R08	BWS-W3-T31	31	S1	8	docs/037_database_backup_retention_and_recovery.md|docs/039_release_deployment_and_upgrade_contract.md|docs/043_upgrade_rollback_recovery_implementation_blueprint.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/final-local-acceptance.ts|packages/bootstrap/src/operations/release-upgrade.ts	BWS120-R08-005-TEST-01|BWS120-R08-005-TEST-02|BWS120-R08-005-TEST-03	release_or_deployment|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-006	Restore verification does not bind manifest semantics to the exact restored database state	P1	R08	BWS-W3-T31	31	S1	8	docs/037_database_backup_retention_and_recovery.md|docs/039_release_deployment_and_upgrade_contract.md|docs/043_upgrade_rollback_recovery_implementation_blueprint.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/final-local-acceptance.ts|packages/bootstrap/src/operations/release-upgrade.ts	BWS120-R08-006-TEST-01|BWS120-R08-006-TEST-02|BWS120-R08-006-TEST-03|BWS120-R08-006-TEST-04	evidence_or_artifact|persistence_or_migration|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-007	Restore verification hard-codes restart success after two loopback API smoke runs	P1	R08	BWS-W3-T31	31	S1	8	docs/037_database_backup_retention_and_recovery.md|docs/039_release_deployment_and_upgrade_contract.md|docs/043_upgrade_rollback_recovery_implementation_blueprint.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/final-local-acceptance.ts|packages/bootstrap/src/operations/release-upgrade.ts	BWS120-R08-007-TEST-01|BWS120-R08-007-TEST-02|BWS120-R08-007-TEST-03|BWS120-R08-007-TEST-04	persistence_or_migration|restart_or_recovery	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-008	Restore verification receipt is not bound to the exact dump bytes it claims to verify	P1	R08	BWS-W3-T31	31	S1	8	docs/037_database_backup_retention_and_recovery.md|docs/039_release_deployment_and_upgrade_contract.md|docs/043_upgrade_rollback_recovery_implementation_blueprint.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/final-local-acceptance.ts|packages/bootstrap/src/operations/release-upgrade.ts	BWS120-R08-008-TEST-01|BWS120-R08-008-TEST-02|BWS120-R08-008-TEST-03|BWS120-R08-008-TEST-04	evidence_or_artifact|persistence_or_migration|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS120-R08-009	Interrupted restore verification can leave untracked disposable databases	P2	R08	BWS-W3-T31	31	S1	8	docs/037_database_backup_retention_and_recovery.md|docs/039_release_deployment_and_upgrade_contract.md|docs/043_upgrade_rollback_recovery_implementation_blueprint.md|packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/final-local-acceptance.ts|packages/bootstrap/src/operations/release-upgrade.ts	BWS120-R08-009-TEST-01|BWS120-R08-009-TEST-02|BWS120-R08-009-TEST-03	persistence_or_migration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	false	false	true	true	false
BWS121-R11-001	Source manifest omits 115 current paths and carries eight stale file records	P1	R11	BWS-W4-T40	40	S2	9	.nvmrc|SOURCE_MANIFEST.json|package.json|scripts/load-node-runtime.sh|scripts/validate_node_runtime_loader.py|scripts/validate_source_manifest.py|tests/validate-source-manifest.test.ts	BWS121-R11-REQ-001|BWS121-R11-REQ-002|BWS121-R11-REQ-003|BWS121-R11-REQ-004	assurance_or_build|security_or_confinement	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R11-002	Canonical Node 20.20.2 enforcement accepts any Node 20 minor as NODE_OK	P1	R11	BWS-W4-T40	40	S2	9	.nvmrc|SOURCE_MANIFEST.json|package.json|scripts/load-node-runtime.sh|scripts/validate_node_runtime_loader.py|scripts/validate_source_manifest.py|tests/validate-source-manifest.test.ts	BWS121-R11-REQ-005|BWS121-R11-REQ-006|BWS121-R11-REQ-007|BWS121-R11-REQ-008	controller_or_artifact|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-001	Standalone controllers expose an unrestricted lock-bypass mode for source-affecting runs	P1	R12	BWS-W4-T44	44	S2	10	.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-001|BWS121-R12-REQ-002|BWS121-R12-REQ-003|BWS121-R12-REQ-004|BWS121-R12-TG-001	concurrency_or_ownership|controller_or_artifact|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-002	Standalone heartbeat refresh can overwrite newer active-child ownership metadata	P1	R12	BWS-W4-T44	44	S2	10	.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-005|BWS121-R12-REQ-006|BWS121-R12-REQ-007|BWS121-R12-REQ-008|BWS121-R12-TG-002	controller_or_artifact	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-003	Heartbeat loss does not fence or stop the controller that owns the stale lock	P1	R12	BWS-W4-T44	44	S2	10	.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-009|BWS121-R12-REQ-010|BWS121-R12-REQ-011|BWS121-R12-REQ-012|BWS121-R12-TG-003	controller_or_artifact	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-004	Standalone stale-lock takeover deletes ownership without verifying the recorded active child is gone	P1	R12	BWS-W4-T44	44	S2	10	.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-013|BWS121-R12-REQ-014|BWS121-R12-REQ-015|BWS121-R12-REQ-016|BWS121-R12-TG-004	controller_or_artifact|restart_or_recovery|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-005	Autopilot child duration is advisory because the parent waits without an enforcing deadline	P1	R12	BWS-W4-T45	45	S2	11	.automation/lib/controller_hardening_v2.sh|.automation/lib/run_common.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh	BWS121-R12-REQ-017|BWS121-R12-REQ-018|BWS121-R12-REQ-019|BWS121-R12-REQ-020|BWS121-R12-REQ-021|BWS121-R12-TG-005	cancellation_or_timeout|concurrency_or_ownership|controller_or_artifact|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-006	Child ownership is cleared when the leader exits even if descendants remain in its process group	P1	R12	BWS-W4-T45	45	S2	11	.automation/lib/controller_hardening_v2.sh|.automation/lib/run_common.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh	BWS121-R12-REQ-022|BWS121-R12-REQ-023|BWS121-R12-REQ-024|BWS121-R12-REQ-025|BWS121-R12-TG-006	unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-007	Autopilot restart creates a fresh campaign instead of reconciling and resuming durable progress	P1	R12	BWS-W4-T45	45	S2	11	.automation/lib/controller_hardening_v2.sh|.automation/lib/run_common.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh	BWS121-R12-REQ-026|BWS121-R12-REQ-027|BWS121-R12-REQ-028|BWS121-R12-REQ-029|BWS121-R12-REQ-030|BWS121-R12-TG-007	restart_or_recovery|security_or_confinement	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-008	Second-resolution artifact identities are non-exclusive and can merge or overwrite distinct controller runs	P1	R12	BWS-W4-T46	46	S2	12	.automation/lib/controller_hardening_v2.sh|.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-031|BWS121-R12-REQ-032|BWS121-R12-REQ-033|BWS121-R12-REQ-034|BWS121-R12-TG-008	controller_or_artifact|restart_or_recovery|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-009	Standalone finalization packages evidence before proving active children are quiescent	P1	R12	BWS-W4-T46	46	S2	12	.automation/lib/controller_hardening_v2.sh|.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-035|BWS121-R12-REQ-036|BWS121-R12-REQ-037|BWS121-R12-REQ-038|BWS121-R12-TG-009	controller_or_artifact|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-010	Artifact cleanup can recursively delete a live operation solely because its basename is allowlisted	P1	R12	BWS-W4-T46	46	S2	12	.automation/lib/controller_hardening_v2.sh|.automation/lib/run_common.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh|run-paper-evaluation.sh	BWS121-R12-REQ-039|BWS121-R12-REQ-040|BWS121-R12-REQ-041|BWS121-R12-REQ-042|BWS121-R12-TG-010	concurrency_or_ownership|controller_or_artifact|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-011	Shared artifacts.zip publication is an unversioned last-writer-wins race	P1	R12	BWS-W4-T47	47	S2	13	.automation/lib/run_common.sh|.automation/lib/telegram_notify.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh	BWS121-R12-REQ-043|BWS121-R12-REQ-044|BWS121-R12-REQ-045|BWS121-R12-REQ-046|BWS121-R12-TG-011	assurance_or_build|concurrency_or_ownership|controller_or_artifact|restart_or_recovery|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-012	Failed or incomplete final publication leaves a prior archive silently reusable as current evidence	P1	R12	BWS-W4-T47	47	S2	13	.automation/lib/run_common.sh|.automation/lib/telegram_notify.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh	BWS121-R12-REQ-047|BWS121-R12-REQ-048|BWS121-R12-REQ-049|BWS121-R12-REQ-050|BWS121-R12-TG-011	concurrency_or_ownership|controller_or_artifact|restart_or_recovery|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R12-013	Telegram delivery outcome is produced after terminal artifact publication and is absent from retained evidence	P2	R12	BWS-W4-T47	47	S2	13	.automation/lib/run_common.sh|.automation/lib/telegram_notify.sh|run-autonomous-bugfix.sh|run-autonomous-implementation.sh|run-bugfix-autopilot.sh|run-paper-autopilot.sh	BWS121-R12-REQ-051|BWS121-R12-REQ-052|BWS121-R12-REQ-053|BWS121-R12-TG-012	cancellation_or_timeout|controller_or_artifact|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	false	false	false	false	false
BWS116-R01-001	Committed-HEAD lock derivation honors repository-local Git replacement objects	P1	R01	BWS-W1-T02	2	S3	14	packages/upstream/src/upstream/betting-win-upstream-lock.ts	BWS116-R01-001-TEST-01|BWS116-R01-001-TEST-02|BWS116-R01-TG-001	concurrency_or_fencing|identity_or_determinism|unit_or_integration	AS_DECLARED_BY_OWNING_REVIEW|NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE	true	true	true	true	true	false
BWS116-R01-002	Upstream lock is assembled from multiple unconstrained HEAD observations rather than one pinned object graph	P1	R01	BWS-W1-T02	2	S3	14	packages/upstream/src/upstream/betting-win-upstream-lock.ts	BWS116-R01-002-TEST-01|BWS116-R01-002-TEST-02|BWS116-R01-TG-001	concurrency_or_fencing|unit_or_integration	AS_DECLARED_BY_OWNING_REVIEW|NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE	true	true	true	true	true	false
BWS116-R01-003	API convergence records completion metadata but not the exact records later consumed	P1	R01	BWS-W1-T03	3	S3	15	packages/bootstrap/src/adapters/betting-win-query-client.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/upstream-api-convergence.ts	BWS116-R01-003-TEST-01|BWS116-R01-003-TEST-02|BWS116-R01-003-TEST-03|BWS116-R01-TG-001	concurrency_or_fencing|restart_or_recovery|unit_or_integration|upstream_integration	AS_DECLARED_BY_OWNING_REVIEW|NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE	true	true	true	true	true	false
BWS116-R01-004	Accepted API records are not cryptographically bound to exact response bytes, route, query, contract, generation, and page	P1	R01	BWS-W1-T03	3	S3	15	packages/bootstrap/src/adapters/betting-win-query-client.ts|packages/bootstrap/src/operations/external-runtime-preflight.ts|packages/bootstrap/src/operations/upstream-api-convergence.ts	BWS116-R01-004-TEST-01|BWS116-R01-004-TEST-02|BWS116-R01-004-TEST-03|BWS116-R01-TG-001	concurrency_or_fencing|restart_or_recovery|unit_or_integration|upstream_integration	AS_DECLARED_BY_OWNING_REVIEW|NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE	true	true	true	true	true	false
